id,name,description
1,Air,"Focuses on air quality, ventilation, and minimizing pollutants indoors."
2,Water,"Addresses water quality, accessibility, and hydration."
3,Nourishment,"Promotes healthy eating habits and access to nutritious food."
4,Light,"Ensures optimal lighting for health and productivity."
5,Movement,"Encourages physical activity and reduces sedentary behavior."
6,Thermal Comfort,"Focuses on maintaining comfortable indoor temperatures."
7,Sound,"Addresses noise reduction and acoustic comfort."
8,Materials,"Promotes the use of healthy, sustainable materials."
9,Mind,"Focuses on mental health, stress reduction, and mindfulness."
10,Community,"Encourages community engagement, equity, and social interaction."
11,WELL Fundamentals,"Introduction to the core principles and framework of WELL Building Standards."